PARTNUMBER,SYMBOL,FOOTPRINT,VALUE,VOLTAGE,TOLERANCE,PACKAGE,POLARIZED,DIELECTRIC,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3
"C00020","CAP_NP","CBOX_5000_7200X2500X6500","150n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C154J","CAP FILM 0.15UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1105-ND",,,,
"C00025","CAP_NP","CBOX_5000_7200X2500X6500","15n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C153J","CAP FILM 0.015UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1098-ND",,,,
"C00026","CAP_NP","CBOX_5000_7200X3500X8000","470n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C474J","CAP FILM 0.47UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1110-ND",,,,
"C00029","CAP_NP","C_0402_1005M","470n","6.3V","±10%","0402",0,"X7R","Taiyo Yuden","JMK105B7474KVHF","CAP CER 0.47UF 6.3V X7R 0402","07/24/17 00:00:00","http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_hq_e.pdf","Catalog","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=JMK105B7474KVHF&fileName=JMK105B7474KVHF_SS&mode=specSheetDownload","Spec Sheet",,,"Digi-Key","587-3765-1-ND",,,,
"C00028","CAP_NP","C_0805_2012M","10µ","25V","±10%","0805",0,"X5R","Murata","GRM21BR61E106KA73L","CAP CER 10UF 25V 10% X5R 0805","07/09/15 00:00:00","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","Catalog",,,,,"Digi-Key","490-5523-1-ND","Digi-Key","490-5523-2-ND",,
"C00033","CAP_NP","C_0402_1005M","22p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H220JA01J","CAP CER 22PF 50V C0G/NP0 0402","08/04/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H220JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-11382-2-ND","Digi-Key","490-11382-1-ND",,
"C00048","CAP_NP","C_0603_1608M","4µ7","10v","±10%","0603",0,"X5R","Samsung","CL10A475KP8NNNC","CAP CER 4.7UF 10V X5R 0603","09/04/17 00:00:00","https://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL10A475KP8NNNC.pdf","Spec Sheet","http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2015/06/25&fileName=Data%20sheet_CL10A475KP8NNNC.pdf","Characteristics",,,"Digi-Key","1276-1044-2-ND","Digi-Key","1276-1044-1-ND",,
"C00035","CAP_NP","C_1210_3225M","22µ","25V","±10%","1210",0,"X5R","Samsung","CL32A226KAJNNNE","CAP CER 22UF 25V X5R 1210","08/06/17 00:00:00","http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL32A226KAJNNNE.pdf","Spec Sheet",,,,,"Digi-Key","	1276-1101-2-ND","Digi-Key","	1276-1101-1-ND",,
"C00044","CAP_P","CRADIAL_6.3X9_2.5","330µ","6.3V","±20%","Radial",0,"Polymer","Kemet","A758EK337M0JAAE016","CAP ALUM POLY 330UF 20% 6.3V T/H","08/31/17 00:00:00","https://search.kemet.com/component-edge/download/specsheet/A758EK337M0JAAE016.pdf","Spec Sheet",,,,,"Digi-Key","399-14123-ND",,,,
"C00045","CAP_P","CRADIAL_6.3X9_2.5","180µ","10V","±20%","Radial",0,"Polymer","Kemet","A758EK187M1AAAE016","CAP ALUM POLY 180UF 20% 10V T/H","08/31/17 00:00:00","https://search.kemet.com/component-edge/download/specsheet/A758EK187M1AAAE016.pdf","Spec Sheet",,,,,"Digi-Key","399-14122-ND",,,,
"C00036","CAP_P","CRADIAL_10X13_5","560µ","25V","±20%","Radial",0,"Polymer","Kemet","A750MS567M1EAAE015","	CAP ALUM POLY 560UF 20% 25V T/H","08/06/17 00:00:00","http://www.kemet.com/docfinder?Partnumber=A750MS567M1EAAE015","Spec Sheet",,,,,"Digi-Key","	399-13693-ND",,,,
"C00037","CAP_P","CRADIAL_10X13_5","330µ","25V","±20%","Radial",0,"Polymer","Panasonic","25SEPF330M","CAP ALUM POLY 330UF 20% 25V T/H","08/06/17 00:00:00","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8009+25SEPF330M+8+WW","Web Link",,,,,"Digi-Key","P16323-ND",,,,
"C00038","CAP_NP","C_0402_1005M","82p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H820JA01D","CAP CER 82PF 50V C0G/NP0 0402","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H820JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-5879-2-ND","Digi-Key","490-5879-1-ND",,
"C00039","CAP_NP","C_0603_1608M","1n2","50V","±5%","0603",0,"C0G","Murata","GRM1885C1H122JA01D","	CAP CER 1200PF 50V C0G/NP0 0603","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1885C1H122JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","	490-1453-2-ND","Digi-Key","	490-1453-1-ND",,
"C00040","CAP_NP","C_0402_1005M","820p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H821JA01D","CAP CER 820PF 50V C0G/NP0 0402","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H821JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-3242-2-ND","Digi-Key","490-3242-1-ND",,
